,team_name
0,New Jersey Devils
1,Philadelphia Flyers
2,Los Angeles Kings
3,Tampa Bay Lightning
4,Boston Bruins
5,New York Rangers
6,Pittsburgh Penguins
7,Detroit Red Wings
8,San Jose Sharks
9,Nashville Predators
10,Vancouver Canucks
11,Chicago Blackhawks
12,Ottawa Senators
13,Montreal Canadiens
14,Minnesota Wild
15,Washington Capitals
16,St Louis Blues
17,Anaheim Ducks
18,Phoenix Coyotes
19,New York Islanders
20,Toronto Maple Leafs
21,Florida Panthers
22,Buffalo Sabres
23,Calgary Flames
24,Colorado Avalanche
25,Dallas Stars
26,Columbus Blue Jackets
27,Winnipeg Jets
28,Edmonton Oilers
29,Vegas Golden Knights
30,Carolina Hurricanes
31,Arizona Coyotes
32,Atlanta Thrashers
